"identificador","titulo","autores","ano","veiculo","doi_ou_url","proveniencia_registro","fonte_bibliografica_individual","estrategia_recuperacao_individual","decisao_checkpoint","classificacao_publicada","origem_classificacao","setor","tema_codificado","subtema_codificado","camadas_codificacao_original","alinhamento_questoes_pesquisa","evidencia_ancora","pagina_evidencia","arquivo_pdf","hash_pdf","status_verificacao","justificativa_reconciliacao"
"CAND-000026__058be75c","Moral Perception and Uncertainty Expression in LLM-Augmented Judicial Practice","Sylvie Delacroix","2025","Minds and Machines","10.1007/s11023-025-09744-x","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","judicial/legal","Designing LLM judicial augmentation around morally enabling forms of uncertainty","Limits of quantitative uncertainty calibration for judicial moral perception","human perceptual/oversight layer | institutional infrastructure | tool design/expression layer","LLM governance in regulated contexts | human oversight and contestation in high-stakes AI use | uncertainty, transparency, and accountability in AI-supported decision processes","This paper challenges this narrow understanding of uncertainty in LLM-augmented judicial practices.","1","CAND-000026__058be75c.pdf","3ac04680bc860a5fbd566a239a4b9230f64f1c2e20431d681437d9e75809cce1","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000027__b0ec7058","Ethical Considerations in Personal Health Large Language Models","Jialin Liu; Siru Liu","2026","Journal of Medical Internet Research","10.2196/92240","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","central_evidence","evidencia_central","adjudicacao_pipeline","healthcare; personal health; digital health","Ethical and regulatory governance of personal health LLMs","Operational governance framework for dialogue-driven consumer health LLMs","deployment controls | design controls | implementation mechanisms | postdeployment oversight","conversational systems in regulated health | governance of generative AI | human oversight and accountability | monitoring after deployment | risk management and compliance","Viewpoint Ethical Considerations in Personal Health Large Language Models","1","CAND-000027__b0ec7058.pdf","3c3b53f12acbd8b284e45f514335ccd6bb567398d368768d1ce048727230f40b","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000028__cc541f1f","Personal Health Large Language Models and the Negotiation of Medical Authority in Clinical Care: Opportunities, Risks, and Governance","Wenyi Xie; Jialin Liu; Siru Liu","2026","Journal of Medical Internet Research","10.2196/91727","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","central_evidence","evidencia_central","adjudicacao_pipeline","health care","Clinical governance of patient-facing large language models in care encounters","Three-layer framework for patient-brought PH-LLM narratives","clinical arbitration and workflow integration | competence and accountability | evidence and provenance","accountability | bias | compliance | conversational AI | escalation | governance | human oversight | privacy | regulated healthcare | risk management","Personal health large language models (PH-LLMs) are patient-facing conversational systems that synthesize user-entered information, patient-generated health data, wearable data, and selected personal health records","1","CAND-000028__cc541f1f.pdf","237205a9356314a1f4e3cfc85da70239131a7ac9d2ad44d1e563b0cb227ed20a","checkpoint_sem_alerta",""
"CAND-000029__e9698737","Review Applications and Concerns of ChatGPT and Other Conversational Large Language Models in Health Care: Systematic Review","Leyao Wang; Zhiyu Wan; Congning Ni; Qingyuan Song; Yang Li; Ellen Clayton; Bradley Malin; Zhijun Yin","2024","Journal of Medical Internet Research","10.2196/22769","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","health care","Applications and concerns of conversational LLMs in health care","Reliability, bias, privacy, and acceptability as primary concern categories","application layer | concern/risk layer","LLM risk and safety concerns | bias and privacy in health care LLMs | conversational AI in regulated settings | reliability and interpretability","We followed the guidance of PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) to screen and select peer-reviewed research articles","1","CAND-000029__e9698737.pdf","07601d6e5fd3c9bae0ef31a412e9f2f2c37120b8cea736b89568536cc6687389","checkpoint_sem_alerta",""
"CAND-000030__03b93195","A systematic review of ethical considerations of large language models in healthcare and medicine","Muhammad Fareed, Madeeha Fatima, Jamal Uddin, Adeel Ahmed, Muhammad Awais Sattar","2025","Frontiers in Digital Health","10.3389/fdgth.2025.1653631","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","healthcare and medicine","Ethical governance of large language models in healthcare","Systematic mapping of dominant ethical concerns and integration guidance","clinical workflow integration | ethical principles | policy and policymaker guidance","bias fairness privacy and explainability-related risks | compliance and responsible deployment in healthcare | governance and accountability in regulated LLM use","A systematic review of ethical considerations of large language models in healthcare and medicine","1","CAND-000030__03b93195.pdf","b93dfc1d039367cca5171b3ea7337f140617b71acfbf3f7705ab72123382e956","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000031__1ce54e80","Standardizing and Scaffolding Health Care AI-Chatbot Evaluation: Systematic Review","Yining Hua; Winna Xia; David Bates; George Luke Hartstein; Hyungjin Tom Kim; Michael Li; Benjamin W Nelson; Charles Stromeyer IV; Darlene King; Jina Suh; Li Zhou; John Torous","2025","JMIR AI","10.2196/69006","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","central_evidence","evidencia_central","adjudicacao_pipeline","health care","Standardized evaluation governance for health care conversational AI","Stakeholder-informed evaluation frameworks for generative AI chatbots","accountability_oversight | monitoring_evaluation | operational_deployment | policy_compliance | risk_safety","accountability and transparency | compliance in regulated health contexts | evaluation and audit standards | governance of conversational AI | human-centered oversight through stakeholder review | privacy and safety controls","Methods: PRISMA (Preferred Reporting Items for Systematic reviews and Meta-Analyses)–guided searches across multiple databases identified 266 records; 152 were screened, 21 full texts were assessed, and 11 frameworks were included.","1","CAND-000031__1ce54e80.pdf","d7b52dd08dd5fd9e93661580c9fc97a7f4b21edd9e3d50801570376caddaef4d","checkpoint_sem_alerta",""
"CAND-000032__3edeb416","Large Language Models for Chatbot Health Advice Studies: A Systematic Review","Bright Huo, MD; Amy Boyle, BSc; Nana Marfo, MD; Wimonchat Tangamornsuksan, PharmD, PhD; Jeremy P. Steen, MSc; Tyler McKechnie, MD; Yung Lee, MD; Julio Mayol, MD; Stavros A. Antoniou, MD; Arun James Thirunavukarasu, MB BChir; Stephanie Sanger, BSc; Karim Ramji, MD; Gordon Guyatt, MD","2025","JAMA Network Open","10.1001/jamanetworkopen.2024.57879","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","health care","Reporting quality of LLM-driven health advice chatbot studies","Gaps in ethical, regulatory, and patient safety reporting","clinical deployment context | evaluation and reporting layer","governance reporting in regulated conversational AI | patient safety and regulatory considerations in health care chatbots | transparency and accountability gaps in LLM chatbot studies","To perform a systematic review to examine the reporting variability among peer-reviewed studies evaluating the performance of generative artificial intelligence (AI)–driven chatbots for summarizing evidence and providing health advice","1","CAND-000032__3edeb416.pdf","324de04365c254c5ecdd934a4d885907243d3ba077aadea9e04d6298b9aede62","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000033__f793b235","From COBIT to ISO 42001: Evaluating Cybersecurity Frameworks for Opportunities, Risks, and Regulatory Compliance in Commercializing Large Language Models","Timothy R. McIntosh, Teo Susnjak, Tong Liu, Paul Watters, Raza Nowrozy, Malka N. Halgamuge","unclear","unclear","unclear","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","diverse organizational sectors","Evaluation of cybersecurity GRC frameworks for secure and compliant LLM integration","Framework gap analysis and human-LLM assisted validation","compliance | governance | oversight | risk","AI governance for LLMs | human oversight in validation processes | risk and regulatory compliance in regulated contexts","for the opportunities, risks, and regulatory compliance when adopting Large Language Models (LLMs), using qualitative content analysis and expert validation","1","CAND-000033__f793b235.pdf","4b54b8ab4f63d7da9ad4b823a61d20347d2d17e6fa160b7fb1159fbdae146a7f","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000034__8219c591","Trustworthy Generative AI for Financial Services","Marc-André Zöller; Anastasiia Iurshina; Ines Röder","2024","Symposium on Scaling AI Assessments (SAIA 2024), OASIcs","10.4230/OASIcs.SAIA.2024.2","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","financial services","Trustworthy GenAI governance for regulated financial services","Multi-level platform safeguards via guardrails, privacy, and grounding","context_augmentation | grounding_mechanisms | input_guardrails | output_guardrails | privacy_controls","audit | compliance | governance_of_generative_ai | guardrails | privacy | regulated_financial_context | risk_control","This work introduces GFT EnterpriseGPT, a regulatory-compliant, trustworthy generative AI (GenAI) platform tailored for the financial services sector.","1","CAND-000034__8219c591.pdf","aaeda1a044ad7726958ffe90c5184316b684183b0e23c81a539608a241e14ecd","checkpoint_sem_alerta",""
"CAND-000035__c8257b71","Large Language Model Company Policies and Policy Implications in Software Organizations","Ranim Khojah; Mazen Mohamad; Linda Erlenhov; Francisco Gomes de Oliveira Neto; Philipp Leitner","2025","IEEE Software","10.1109/MS.2025.3622039","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","software development organizations","Organizational policy governance for LLM chatbot adoption","Factors influencing company policy creation for safe chatbot integration in software development","human oversight via management roles | organizational governance | policy layer","accountability and trust in conversational LLM interfaces | governance mechanisms for LLM chatbots | risk and compliance in LLM adoption","The risks associated with adopting large language model chatbots in software organizations highlight the need for clear policies.","1","CAND-000035__c8257b71.pdf","b5173807c73297c3cf6ef261fb86150b646472f682949bc3466db3a81051944d","checkpoint_com_alerta: decision_evidence_conflict|llm_evidence_not_found",""
"CAND-000037__3fdb584a","The flaws of policies requiring human oversight of government algorithms","Ben Green","2022","Computer Law & Security Review","10.1016/j.clsr.2022.105681","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","public sector / government","Critique of human oversight as a governance mechanism for government algorithms","Institutional oversight as alternative to human-in-the-loop policies","democratic approval layer | institutional governance layer | policy layer","accountability | governance | human oversight | regulated contexts | risk mitigation","In this article, I survey 41 policies that prescribe human oversight of government algorithms","1","CAND-000037__3fdb584a.pdf","8abecdd548f5e83f2c29b4be98ec1ea0b2e5aca0fa3171a66d94cc773e250f97","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000038__29be9f56","Governing Generative AI in Healthcare: A Normative Conceptual Framework for Epistemic Authority, Trust, and the Architecture of Responsibility","Fatma Eren Akgün; Metin Akgün","2026","Healthcare","10.3390/healthcare14081098","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","central_evidence","evidencia_central","adjudicacao_pipeline","healthcare","Normative governance of generative AI/LLMs in healthcare","Epistemic authority, trust, and responsibility architecture (ETR)","accountability/responsibility assignment | institutional governance policy | output classification tier | trust justification conditions | verification/oversight intensity","AI governance in regulated healthcare | LLM-specific governance | accountability for AI-informed harm | human oversight beyond declarative compliance | risk-calibrated oversight | trust and epistemic authority in conversational/clinical AI outputs","Large language models (LLMs) such as ChatGPT are rapidly being integrated into healthcare for tasks ranging from clinical documentation to diagnostic support.","1","CAND-000038__29be9f56.pdf","e71b71f263c562d465beda93d1bdd4b98117a68239a34e3f90c6e2b63b4a913c","checkpoint_sem_alerta",""
"CAND-000039__62390369","The EU AI Act: implications and compliance guidance for healthcare facilities","Fabio Dennstädt, Janna Hastings, Paul Windisch, Aleksa Jovanovic, Tijana Žunić Marič, Sarah Brüningk, Daniel M. Aebersold, Antje Knopf, Nikola Cihoric","2026","Frontiers in Digital Health","10.3389/fdgth.2026.1808373","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","healthcare","Regulatory and operational AI governance for healthcare deployers under the EU AI Act","Four-phase compliance roadmap and deployer obligations (Articles 26, 27, 50)","legal/regulatory | operational deployment | organizational governance | post-deployment monitoring | risk management","accountability | compliance | governance | human oversight | regulated healthcare context | risk management","REVIEWED BY Lars Masanneck","1","CAND-000039__62390369.pdf","6df370a68f75563fd444f28baa4268b8ccc832dbb7187b3a4bc505df2cafc769","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000040__02a9bba6","Current applications and challenges in large language models for patient care: a systematic review","Felix Busch, Lena Hoffmann, Christopher Rueger, Elon HC van Dijk, Rawen Kader, Esteban Ortiz-Prado, Marcus R. Makowski, Luca Saba, Martin Hadamitzky, Jakob Nikolas Kather, Daniel Truhn, Renato Cuocolo, Lisa C. Adams, Keno K. Bressem","2024","Communications Medicine","10.1038/s43856-024-00717-2","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","healthcare","Applications and limitations of LLMs in patient care","Design and output limitations with implementation/evaluation taxonomy","application layer | design/data layer | output quality layer","LLM in regulated healthcare | patient-facing conversational systems | risk and safety limitations","this systematic review aims to synthesize current applications and limitations of LLMs in patient care.","1","CAND-000040__02a9bba6.pdf","c3fee1836ddf374d7d862ba04365b63cd64c7987f394948d12b47a71f3d7e000","checkpoint_sem_alerta",""
"CAND-000042__5d402dcc","unclear","Ignacio Olmeda","2026","Journal of Banking Regulation","10.1057/s41261-026-00320-6","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","banking","AI governance and supervisory accountability in banking","comparative cross-jurisdictional regulatory maturity","macro | meso | micro","accountability | compliance | governance | human oversight | regulated banking context | risk management","how far do existing regulatory models for AI in banking achieve enforceable accountability, and can proportional oversight mechanisms bridge the persistent gap between normative ambition and institutional capacity?","1","CAND-000042__5d402dcc.pdf","382c0c9e7fdb82d6c0114debd67936d73bd690e356e976d43f73d4194fc48e51","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000043__cede015d","Navigating the Future of Finance: The Transformative Role of Generative AI","Hassnian Ali; Ahmet Faruk Aysan","2026","Journal of Central Banking Law and Institutions","10.21098/jcli.v5i1.431","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","financial services","GenAI transformation and governance in financial services","ethical and regulatory challenges from literature topic modelling","organisational_risk_ethics_layer | policy_regulatory_layer","ethics_and_accountability | genai_governance_in_regulated_contexts | risk_and_compliance_in_finance","NAVIGATING THE FUTURE OF FINANCE: THE TRANSFORMATIVE ROLE OF GENERATIVE AI Hassnian Ali and Ahmet Faruk Aysan","1","CAND-000043__cede015d.pdf","b284e3506f2dadaed326c5905fb67d074354e616b223b89f4d65dd1a69a615fd","checkpoint_com_alerta: llm_evidence_not_found",""
"CAND-000044__ff93d879","AI ethics in banking services: a systematic and bibliometric review of regulatory and consumer perspectives","McArthur Fundira; Charles Mbohwa","2025","Discover Artificial Intelligence","10.1007/s44163-025-00432-4","metagrade_llm_output/checkpoint_results.jsonl","não preservada no checkpoint; cobertura documentada em METHODS_SUPPLEMENT_V2.md","não atribuível individualmente a partir dos artefatos preservados","supporting_evidence","evidencia_apoio","adjudicacao_pipeline","banking; financial services","AI ethics and governance in regulated banking services","regulatory and consumer perspectives on responsible AI deployment","customer interaction layer | organizational governance layer | policy/regulatory layer","bias, fairness, transparency, privacy | compliance and risk in financial services | governance and accountability in regulated AI | human/customer oversight and trust","This study employs a multi- method approach comprising a systematic literature review (SLR), bibliometric mapping, and content analysis","1","CAND-000044__ff93d879.pdf","56dc796d0899f09b759d05ad76b734e591d7584eca485dbc50dc5aed216cf1b9","checkpoint_sem_alerta",""
